Team ,Position on team,Country of Citizenship,Given Name,Family Name ,Date of Birth,Date of Death,Sex,Place of birth,Place of death,,,Tîm,Safle ar y tîm,Gwlad Dinasyddiaeth,Enw a Roddir,Enw Teulu ,Dyddiad Geni,Dyddiad Marwolaeth,Rhyw,Man Geni,Man Marwolaeth
Llanelli RFC,fullback,United Kingdom of Great Britain and Ireland,Bailey,Davies,1884-12-03,24/08/1968,male,Llanwenog,Hendon,,,Clwb Rygbi Llanelli,cefnwr,"Teyrnas Unedig Prydain Fawr ac Iwerddon
",Bailey,Davies,1884-12-03,24/08/1968,gwryw,Llanwenog,Hendon
London Welsh RFC,fullback,United Kingdom of Great Britain and Ireland,Bailey,Davies,1884-12-03,24/08/1968,male,Llanwenog,Hendon,,,Clwb Rygbi Cymry Llundain,cefnwr,"Teyrnas Unedig Prydain Fawr ac Iwerddon
",Bailey,Davies,1884-12-03,24/08/1968,gwryw,Llanwenog,Hendon
Wales national rugby union team,fullback,United Kingdom of Great Britain and Ireland,Bailey,Davies,1884-12-03,24/08/1968,male,Llanwenog,Hendon,,,Tîm undeb rygbi cenedlaethol Cymru,cefnwr,"Teyrnas Unedig Prydain Fawr ac Iwerddon
",Bailey,Davies,1884-12-03,24/08/1968,gwryw,Llanwenog,Hendon
The Jersey Reds R.F.C.,prop,Wales,Ben,Evans,31/07/1975,,male,Cardiff,,,,Clwb Rygbi The Jersey Reds ,prop,Cymru,Ben,Evans,31/07/1975,,gwryw,Caerdydd,
Cardiff RFC,prop,Wales,Ben,Evans,31/07/1975,,male,Cardiff,,,,Clwb Rygbi Caerdydd ,prop,Cymru,Ben,Evans,31/07/1975,,gwryw,Caerdydd,
Swansea RFC,prop,Wales,Ben,Evans,31/07/1975,,male,Cardiff,,,,Clwb Rygbi Abertawe ,prop,Cymru,Ben,Evans,31/07/1975,,gwryw,Caerdydd,
Wales national rugby union team,prop,Wales,Ben,Evans,31/07/1975,,male,Cardiff,,,,Tîm undeb rygbi cenedlaethol Cymru,prop,Cymru,Ben,Evans,31/07/1975,,gwryw,Caerdydd,
Birmingham Moseley Rugby Club,prop,Wales,Ben,Evans,31/07/1975,,male,Cardiff,,,,Clwb Rygbi Birmingham Moseley ,prop,Cymru,Ben,Evans,31/07/1975,,gwryw,Caerdydd,
The Jersey Reds R.F.C.,prop,United Kingdom,Ben,Evans,31/07/1975,,male,Cardiff,,,,Clwb Rygbi The Jersey Reds ,prop,Y Deyrnas Unedig,Ben,Evans,31/07/1975,,gwryw,Caerdydd,
Cardiff RFC,prop,United Kingdom,Ben,Evans,31/07/1975,,male,Cardiff,,,,Clwb Rygbi Caerdydd ,prop,Y Deyrnas Unedig,Ben,Evans,31/07/1975,,gwryw,Caerdydd,
Swansea RFC,prop,United Kingdom,Ben,Evans,31/07/1975,,male,Cardiff,,,,Clwb Rygbi Abertawe ,prop,Y Deyrnas Unedig,Ben,Evans,31/07/1975,,gwryw,Caerdydd,
Wales national rugby union team,prop,United Kingdom,Ben,Evans,31/07/1975,,male,Cardiff,,,,Tîm undeb rygbi cenedlaethol Cymru,prop,Y Deyrnas Unedig,Ben,Evans,31/07/1975,,gwryw,Caerdydd,
Birmingham Moseley Rugby Club,prop,United Kingdom,Ben,Evans,31/07/1975,,male,Cardiff,,,,Clwb Rygbi Birmingham Moseley ,prop,Y Deyrnas Unedig,Ben,Evans,31/07/1975,,gwryw,Caerdydd,
Wales national rugby league team,,Wales,Ben,,19/10/1987,,male,Cardiff,,,,Tîm rygbi cynghrair cenedlaethol Cymru,,Cymru,Ben,,19/10/1987,,gwryw,Caerdydd,
Wigan Warriors,,Wales,Ben,,19/10/1987,,male,Cardiff,,,,Wigan Warriors,,Cymru,Ben,,19/10/1987,,gwryw,Caerdydd,
Ospreys,,Wales,Ben,John,28/02/1991,,male,Morriston,,,,y Gweilch,,Cymru,Ben,John,28/02/1991,,gwryw,Treforys,
Aberavon RFC,,Wales,Ben,John,28/02/1991,,male,Morriston,,,,Clwb Rygbi Aberafon,,Cymru,Ben,John,28/02/1991,,gwryw,Treforys,
Ospreys,,Wales,Ben,Lewis,26/08/1986,,male,Swansea,,,,y Gweilch,,Cymru,Ben,Lewis,26/08/1986,,gwryw,Abertawe,
Doncaster R.F.C.,,Wales,Ben,Phillips,05/09/1981,,male,Bridgend,,,,Clwb Rygbi Doncaster ,,Cymru,Ben,Phillips,05/09/1981,,gwryw,Pen-y-bont ar Ogwr,
Gloucester Rugby,,Wales,Ben,Phillips,05/09/1981,,male,Bridgend,,,,Rygbi Caerloyw,,Cymru,Ben,Phillips,05/09/1981,,gwryw,Pen-y-bont ar Ogwr,
Pontypridd RFC,,Wales,Ben,Phillips,05/09/1981,,male,Bridgend,,,,Clwb Rygbi Pontypridd ,,Cymru,Ben,Phillips,05/09/1981,,gwryw,Pen-y-bont ar Ogwr,
Pontypool RFC,winger,Wales,Cliff,Richards,28/03/1901,13/02/1964,male,Hafodyrynys,Crumlin,,,Clwb Rygbi Pontyp?l,asgellwr,Cymru,Cliff,Richards,28/03/1901,13/02/1964,gwryw,Hafodyrynys,Crymlyn
Swansea RFC,winger,Wales,Cliff,Richards,28/03/1901,13/02/1964,male,Hafodyrynys,Crumlin,,,Clwb Rygbi Abertawe ,asgellwr,Cymru,Cliff,Richards,28/03/1901,13/02/1964,gwryw,Hafodyrynys,Crymlyn
Wales national rugby union team,winger,Wales,Cliff,Richards,28/03/1901,13/02/1964,male,Hafodyrynys,Crumlin,,,Tîm undeb rygbi cenedlaethol Cymru,asgellwr,Cymru,Cliff,Richards,28/03/1901,13/02/1964,gwryw,Hafodyrynys,Crymlyn
Pontypool RFC,winger,United Kingdom,Cliff,Richards,28/03/1901,13/02/1964,male,Hafodyrynys,Crumlin,,,Clwb Rygbi Pontyp?l,asgellwr,Y Deyrnas Unedig,Cliff,Richards,28/03/1901,13/02/1964,gwryw,Hafodyrynys,Crymlyn
Swansea RFC,winger,United Kingdom,Cliff,Richards,28/03/1901,13/02/1964,male,Hafodyrynys,Crumlin,,,Clwb Rygbi Abertawe ,asgellwr,Y Deyrnas Unedig,Cliff,Richards,28/03/1901,13/02/1964,gwryw,Hafodyrynys,Crymlyn
Wales national rugby union team,winger,United Kingdom,Cliff,Richards,28/03/1901,13/02/1964,male,Hafodyrynys,Crumlin,,,Tîm undeb rygbi cenedlaethol Cymru,asgellwr,Y Deyrnas Unedig,Cliff,Richards,28/03/1901,13/02/1964,gwryw,Hafodyrynys,Crymlyn
Pontypool RFC,winger,United Kingdom of Great Britain and Ireland,Cliff,Richards,28/03/1901,13/02/1964,male,Hafodyrynys,Crumlin,,,Clwb Rygbi Pontyp?l,asgellwr,"Teyrnas Unedig Prydain Fawr ac Iwerddon
",Cliff,Richards,28/03/1901,13/02/1964,gwryw,Hafodyrynys,Crymlyn
Swansea RFC,winger,United Kingdom of Great Britain and Ireland,Cliff,Richards,28/03/1901,13/02/1964,male,Hafodyrynys,Crumlin,,,Clwb Rygbi Abertawe ,asgellwr,"Teyrnas Unedig Prydain Fawr ac Iwerddon
",Cliff,Richards,28/03/1901,13/02/1964,gwryw,Hafodyrynys,Crymlyn
Wales national rugby union team,winger,United Kingdom of Great Britain and Ireland,Cliff,Richards,28/03/1901,13/02/1964,male,Hafodyrynys,Crumlin,,,Tîm undeb rygbi cenedlaethol Cymru,asgellwr,"Teyrnas Unedig Prydain Fawr ac Iwerddon
",Cliff,Richards,28/03/1901,13/02/1964,gwryw,Hafodyrynys,Crymlyn
Batley Bulldogs,scrum-half,Wales,Clifford,Williams,27/05/1939,02/02/2014,male,Abercarn,Leeds,,,Batley Bulldogs,mewnwr,Cymru,Clifford,Williams,27/05/1939,02/02/2014,gwryw,Abercarn,Leeds
Cross Keys RFC,scrum-half,Wales,Clifford,Williams,27/05/1939,02/02/2014,male,Abercarn,Leeds,,,Clwb Rygbi Cross Keys ,mewnwr,Cymru,Clifford,Williams,27/05/1939,02/02/2014,gwryw,Abercarn,Leeds
Blackpool Borough,,Wales,Peter,Rowe,01/01/1947,,male,Swansea,,,,Bwrdeistref Blackpool,,Cymru,Peter,Rowe,01/01/1947,,gwryw,Abertawe,
Wales national rugby league team,,Wales,Peter,Rowe,01/01/1947,,male,Swansea,,,,Tîm rygbi cynghrair cenedlaethol Cymru,,Cymru,Peter,Rowe,01/01/1947,,gwryw,Abertawe,
Huddersfield Giants,,Wales,Peter,Rowe,01/01/1947,,male,Swansea,,,,Huddersfield Giants,,Cymru,Peter,Rowe,01/01/1947,,gwryw,Abertawe,
Wigan Warriors,,Wales,Peter,Rowe,01/01/1947,,male,Swansea,,,,Wigan Warriors,,Cymru,Peter,Rowe,01/01/1947,,gwryw,Abertawe,
Swansea RFC,,Wales,Peter,Rowe,01/01/1947,,male,Swansea,,,,Clwb Rygbi Abertawe ,,Cymru,Peter,Rowe,01/01/1947,,gwryw,Abertawe,
Neath RFC,lock,Wales,Peter,,10/06/1980,,male,Merthyr Tydfil,,,,Clwb Rygbi Castell-nedd,clo,Cymru,Peter,,10/06/1980,,gwryw,Merthyr Tudful,
Dragons,lock,Wales,Peter,,10/06/1980,,male,Merthyr Tydfil,,,,Y Dreigiau,clo,Cymru,Peter,,10/06/1980,,gwryw,Merthyr Tudful,
England national rugby union team,prop,Wales,,,1898-03-05,10/11/1985,male,Abergavenny,Honiton,,,Tîm rygbi undeb cenedlaethol Lloegr,prop,Cymru,,,1898-03-05,10/11/1985,gwryw,Fenni,Honiton
England national rugby union team,prop,United Kingdom,,,1898-03-05,10/11/1985,male,Abergavenny,Honiton,,,Tîm rygbi undeb cenedlaethol Lloegr,prop,Y Deyrnas Unedig,,,1898-03-05,10/11/1985,gwryw,Fenni,Honiton
England national rugby union team,prop,United Kingdom of Great Britain and Ireland,,,1898-03-05,10/11/1985,male,Abergavenny,Honiton,,,Tîm rygbi undeb cenedlaethol Lloegr,prop,"Teyrnas Unedig Prydain Fawr ac Iwerddon
",,,1898-03-05,10/11/1985,gwryw,Fenni,Honiton
Wales national under-18 rugby union team,,Wales,Phil,,15/05/1985,,male,Caerphilly,,,,Tîm rygbi undeb dan-18 cenedlaethol Cymru,,Cymru,Phil,,15/05/1985,,gwryw,Caerffili,
Exeter Chiefs,,Wales,Phil,,15/05/1985,,male,Caerphilly,,,,Exeter Chiefs,,Cymru,Phil,,15/05/1985,,gwryw,Caerffili,
Dragons,,Wales,Phil,,15/05/1985,,male,Caerphilly,,,,Y Dreigiau,,Cymru,Phil,,15/05/1985,,gwryw,Caerffili,
Scarlets,prop,Wales,Phil,John,25/04/1981,,male,Gorseinon,,,,Y Sgarlets,prop,Cymru,Phil,John,25/04/1981,,gwryw,Gorseinon,
Dragons,,Wales,Phil,Price,10/11/1988,,male,Bridgend,,,,Y Dreigiau,,Cymru,Phil,Price,10/11/1988,,gwryw,Pen-y-bont ar Ogwr,
Workington Town,,Wales,Raymond,Wilkins,03/10/1950,,male,Neath,,,,Workington Town,,Cymru,Raymond,Wilkins,03/10/1950,,gwryw,Castell Nedd,
Wales national rugby league team,,Wales,Raymond,Wilkins,03/10/1950,,male,Neath,,,,Tîm rygbi cynghrair cenedlaethol Cymru,,Cymru,Raymond,Wilkins,03/10/1950,,gwryw,Castell Nedd,
Aberavon RFC,,Wales,Raymond,Wilkins,03/10/1950,,male,Neath,,,,Clwb Rygbi Aberafon,,Cymru,Raymond,Wilkins,03/10/1950,,gwryw,Castell Nedd,
Wales national rugby league team,,Wales,Rees,Richards,1886-01-01,,male,Cwmavon,,,,Tîm rygbi cynghrair cenedlaethol Cymru,,Cymru,Rees,Richards,1886-01-01,,gwryw,Chwmafan,
Wigan Warriors,,Wales,Rees,Richards,1886-01-01,,male,Cwmavon,,,,Wigan Warriors,,Cymru,Rees,Richards,1886-01-01,,gwryw,Chwmafan,
Wales national rugby union team,,Wales,Rees,Richards,1886-01-01,,male,Cwmavon,,,,Tîm undeb rygbi cenedlaethol Cymru,,Cymru,Rees,Richards,1886-01-01,,gwryw,Chwmafan,
Aberavon RFC,,Wales,Rees,Richards,1886-01-01,,male,Cwmavon,,,,Clwb Rygbi Aberafon,,Cymru,Rees,Richards,1886-01-01,,gwryw,Chwmafan,
Wales national rugby league team,,United Kingdom,Rees,Richards,1886-01-01,,male,Cwmavon,,,,Tîm rygbi cynghrair cenedlaethol Cymru,,Y Deyrnas Unedig,Rees,Richards,1886-01-01,,gwryw,Chwmafan,
Wigan Warriors,,United Kingdom,Rees,Richards,1886-01-01,,male,Cwmavon,,,,Wigan Warriors,,Y Deyrnas Unedig,Rees,Richards,1886-01-01,,gwryw,Chwmafan,
Wales national rugby union team,,United Kingdom,Rees,Richards,1886-01-01,,male,Cwmavon,,,,Tîm undeb rygbi cenedlaethol Cymru,,Y Deyrnas Unedig,Rees,Richards,1886-01-01,,gwryw,Chwmafan,
Aberavon RFC,,United Kingdom,Rees,Richards,1886-01-01,,male,Cwmavon,,,,Clwb Rygbi Aberafon,,Y Deyrnas Unedig,Rees,Richards,1886-01-01,,gwryw,Chwmafan,
St Helens RLFC,hooker,Wales,Reg,,01/09/1924,20/06/2006,male,Newport,Parr,,,St Helens RLFC,bachwr,Cymru,Reg,,01/09/1924,20/06/2006,gwryw,Casnewydd,Parr
Wales national rugby union team,hooker,Wales,Reg,,01/09/1924,20/06/2006,male,Newport,Parr,,,Tîm undeb rygbi cenedlaethol Cymru,bachwr,Cymru,Reg,,01/09/1924,20/06/2006,gwryw,Casnewydd,Parr
St Helens RLFC,hooker,United Kingdom,Reg,,01/09/1924,20/06/2006,male,Newport,Parr,,,St Helens RLFC,bachwr,Y Deyrnas Unedig,Reg,,01/09/1924,20/06/2006,gwryw,Casnewydd,Parr
Wales national rugby union team,hooker,United Kingdom,Reg,,01/09/1924,20/06/2006,male,Newport,Parr,,,Tîm undeb rygbi cenedlaethol Cymru,bachwr,Y Deyrnas Unedig,Reg,,01/09/1924,20/06/2006,gwryw,Casnewydd,Parr
St Helens RLFC,hooker,United Kingdom of Great Britain and Ireland,Reg,,01/09/1924,20/06/2006,male,Newport,Parr,,,St Helens RLFC,bachwr,"Teyrnas Unedig Prydain Fawr ac Iwerddon
",Reg,,01/09/1924,20/06/2006,gwryw,Casnewydd,Parr
Wales national rugby union team,hooker,United Kingdom of Great Britain and Ireland,Reg,,01/09/1924,20/06/2006,male,Newport,Parr,,,Tîm undeb rygbi cenedlaethol Cymru,bachwr,"Teyrnas Unedig Prydain Fawr ac Iwerddon
",Reg,,01/09/1924,20/06/2006,gwryw,Casnewydd,Parr
Oldham Roughyeds,,Wales,Reginald,,01/01/1907,,male,Newport,,,,Oldham Roughyeds,,Cymru,Reginald,,01/01/1907,,gwryw,Casnewydd,
Wales national rugby league team,,Wales,Reginald,,01/01/1907,,male,Newport,,,,Tîm rygbi cynghrair cenedlaethol Cymru,,Cymru,Reginald,,01/01/1907,,gwryw,Casnewydd,
Wigan Warriors,,Wales,Reginald,,01/01/1907,,male,Newport,,,,Wigan Warriors,,Cymru,Reginald,,01/01/1907,,gwryw,Casnewydd,
Cross Keys RFC,prop,Wales,Rex,Richards,04/02/1934,06/03/1989,male,Newport,Miami,,,Clwb Rygbi Cross Keys ,prop,Cymru,Rex,Richards,04/02/1934,06/03/1989,gwryw,Casnewydd,Miami
Wales national rugby union team,prop,Wales,Rex,Richards,04/02/1934,06/03/1989,male,Newport,Miami,,,Tîm undeb rygbi cenedlaethol Cymru,prop,Cymru,Rex,Richards,04/02/1934,06/03/1989,gwryw,Casnewydd,Miami
Cross Keys RFC,prop,United Kingdom,Rex,Richards,04/02/1934,06/03/1989,male,Newport,Miami,,,Clwb Rygbi Cross Keys ,prop,Y Deyrnas Unedig,Rex,Richards,04/02/1934,06/03/1989,gwryw,Casnewydd,Miami
Wales national rugby union team,prop,United Kingdom,Rex,Richards,04/02/1934,06/03/1989,male,Newport,Miami,,,Tîm undeb rygbi cenedlaethol Cymru,prop,Y Deyrnas Unedig,Rex,Richards,04/02/1934,06/03/1989,gwryw,Casnewydd,Miami
Wales national under-20 rugby union team,,Wales,,Davies,11/01/1983,,male,Carmarthen,,,,Tîm rygbi undeb cenedlaethol dan-20 Cymru,,Cymru,,Davies,11/01/1983,,gwryw,Caerfyrddin,
Wales national under-18 rugby union team,,Wales,,Davies,11/01/1983,,male,Carmarthen,,,,Tîm rygbi undeb dan-18 cenedlaethol Cymru,,Cymru,,Davies,11/01/1983,,gwryw,Caerfyrddin,
Loughborough Students RUFC,,Wales,,Davies,11/01/1983,,male,Carmarthen,,,,Clwb Pêl-droed Rygbi Undeb Myfyrwyr Loughborough,,Cymru,,Davies,11/01/1983,,gwryw,Caerfyrddin,
Northampton Saints,,Wales,,Davies,11/01/1983,,male,Carmarthen,,,,Northampton Saints,,Cymru,,Davies,11/01/1983,,gwryw,Caerfyrddin,
Scarlets,,Wales,,Davies,11/01/1983,,male,Carmarthen,,,,Y Sgarlets,,Cymru,,Davies,11/01/1983,,gwryw,Caerfyrddin,
Dragons,,Wales,,Davies,11/01/1983,,male,Carmarthen,,,,Y Dreigiau,,Cymru,,Davies,11/01/1983,,gwryw,Caerfyrddin,
Wales national rugby union team (sevens),,Wales,,McAtee,02/08/1984,,male,Newport,,,,Tîm rygbi undeb cenedlaethol Cymru (saith bob ochr),,Cymru,,McAtee,02/08/1984,,gwryw,Casnewydd,
Worcester Warriors,,Wales,,McAtee,02/08/1984,,male,Newport,,,,Worcester Warriors,,Cymru,,McAtee,02/08/1984,,gwryw,Casnewydd,
Cornish Pirates,,Wales,,McAtee,02/08/1984,,male,Newport,,,,Cornish Pirates,,Cymru,,McAtee,02/08/1984,,gwryw,Casnewydd,
Barbarians,,Wales,,McAtee,02/08/1984,,male,Newport,,,,Barbariaid,,Cymru,,McAtee,02/08/1984,,gwryw,Casnewydd,
Birmingham Moseley Rugby Club,,Wales,Rhys,Buckley,18/06/1989,,male,Caerphilly,,,,Clwb Rygbi Birmingham Moseley ,,Cymru,Rhys,Buckley,18/06/1989,,gwryw,Caerffili,
Dragons,,Wales,Rhys,Buckley,18/06/1989,,male,Caerphilly,,,,Y Dreigiau,,Cymru,Rhys,Buckley,18/06/1989,,gwryw,Caerffili,
Dragons,,Wales,Rhys,Jenkins,15/06/1990,,male,Caerleon,,,,Y Dreigiau,,Cymru,Rhys,Jenkins,15/06/1990,,gwryw,Caerllion,
Wales national under-20 rugby union team,fly-half,Wales,Rhys,Jones,23/08/1987,,male,Abergavenny,,,,Tîm rygbi undeb cenedlaethol dan-20 Cymru,maswr,Cymru,Rhys,Jones,23/08/1987,,gwryw,Fenni,
Sale Sharks,fly-half,Wales,Rhys,Jones,23/08/1987,,male,Abergavenny,,,,Sale Sharks,maswr,Cymru,Rhys,Jones,23/08/1987,,gwryw,Fenni,
Barbarians,fly-half,Wales,Rhys,Jones,23/08/1987,,male,Abergavenny,,,,Barbariaid,maswr,Cymru,Rhys,Jones,23/08/1987,,gwryw,Fenni,
Scarlets,fly-half,Wales,Rhys,Jones,23/08/1987,,male,Abergavenny,,,,Y Sgarlets,maswr,Cymru,Rhys,Jones,23/08/1987,,gwryw,Fenni,
Wales national under-20 rugby union team,centre,Wales,Rhys,Williams,27/01/1988,,male,Swansea,,,,Tîm rygbi undeb cenedlaethol dan-20 Cymru,Canolwr,Cymru,Rhys,Williams,27/01/1988,,gwryw,Abertawe,
Wales national under-18 rugby union team,centre,Wales,Rhys,Williams,27/01/1988,,male,Swansea,,,,Tîm rygbi undeb dan-18 cenedlaethol Cymru,Canolwr,Cymru,Rhys,Williams,27/01/1988,,gwryw,Abertawe,
Llandovery RFC,centre,Wales,Rhys,Williams,27/01/1988,,male,Swansea,,,,Clwb Rygbi Llanymddyfri,Canolwr,Cymru,Rhys,Williams,27/01/1988,,gwryw,Abertawe,
Scarlets,flanker,United Kingdom,Martyn,Madden,04/12/1973,,male,Cardiff,,,,Y Sgarlets,blaenasgellwr,Y Deyrnas Unedig,Martyn,Madden,04/12/1973,,gwryw,Caerdydd,
Gloucester Rugby,,Wales,Martyn,Thomas,24/04/1987,,male,Carmarthen,,,,Rygbi Caerloyw,,Cymru,Martyn,Thomas,24/04/1987,,gwryw,Caerfyrddin,
Scarlets,,Wales,Martyn,Thomas,24/04/1987,,male,Carmarthen,,,,Y Sgarlets,,Cymru,Martyn,Thomas,24/04/1987,,gwryw,Caerfyrddin,
Dragons,,Wales,Martyn,Thomas,24/04/1987,,male,Carmarthen,,,,Y Dreigiau,,Cymru,Martyn,Thomas,24/04/1987,,gwryw,Caerfyrddin,
Ospreys,,Wales,Matthew,,18/01/1985,,male,Newport,,,,y Gweilch,,Cymru,Matthew,,18/01/1985,,gwryw,Casnewydd,
Birmingham & Solihull R.F.C.,,Wales,Matthew,,06/07/1983,,male,Pontypridd,,,,Clwb Rygbi Birmingham & Solihull ,,Cymru,Matthew,,06/07/1983,,gwryw,Pontypridd,
Pontypridd RFC,,Wales,Matthew,,06/07/1983,,male,Pontypridd,,,,Clwb Rygbi Pontypridd ,,Cymru,Matthew,,06/07/1983,,gwryw,Pontypridd,
Wales national under-20 rugby union team,,Wales,Matthew,,26/12/1990,,male,Newport,,,,Tîm rygbi undeb cenedlaethol dan-20 Cymru,,Cymru,Matthew,,26/12/1990,,gwryw,Casnewydd,
Dragons,,Wales,Matthew,,26/12/1990,,male,Newport,,,,Y Dreigiau,,Cymru,Matthew,,26/12/1990,,gwryw,Casnewydd,
Wales national under-20 rugby union team,,United Kingdom,Matthew,,26/12/1990,,male,Newport,,,,Tîm rygbi undeb cenedlaethol dan-20 Cymru,,Y Deyrnas Unedig,Matthew,,26/12/1990,,gwryw,Casnewydd,
Dragons,,United Kingdom,Matthew,,26/12/1990,,male,Newport,,,,Y Dreigiau,,Y Deyrnas Unedig,Matthew,,26/12/1990,,gwryw,Casnewydd,
Glamorgan Police RFC,centre,Wales,Mel,,18/04/1901,08/09/1988,male,Machen,,,,Clwb Rygbi Heddlu Morgannwg,Canolwr,Cymru,Mel,,18/04/1901,08/09/1988,gwryw,Machen,
Great Britain national rugby league team,centre,Wales,Mel,,18/04/1901,08/09/1988,male,Machen,,,,Tîm rygbi cynghrair cenedlaethol Prydain Fawr,Canolwr,Cymru,Mel,,18/04/1901,08/09/1988,gwryw,Machen,
York City Knights,centre,Wales,Mel,,18/04/1901,08/09/1988,male,Machen,,,,York City Knights,Canolwr,Cymru,Mel,,18/04/1901,08/09/1988,gwryw,Machen,
Wales national rugby league team,centre,Wales,Mel,,18/04/1901,08/09/1988,male,Machen,,,,Tîm rygbi cynghrair cenedlaethol Cymru,Canolwr,Cymru,Mel,,18/04/1901,08/09/1988,gwryw,Machen,
Penarth RFC,centre,Wales,Mel,,18/04/1901,08/09/1988,male,Machen,,,,Clwb Rygbi Penarth ,Canolwr,Cymru,Mel,,18/04/1901,08/09/1988,gwryw,Machen,
Castleford Tigers,centre,Wales,Mel,,18/04/1901,08/09/1988,male,Machen,,,,Castleford Tigers,Canolwr,Cymru,Mel,,18/04/1901,08/09/1988,gwryw,Machen,
Leeds Rhinos,centre,Wales,Mel,,18/04/1901,08/09/1988,male,Machen,,,,Leeds Rhinos,Canolwr,Cymru,Mel,,18/04/1901,08/09/1988,gwryw,Machen,
Cardiff RFC,centre,Wales,Mel,,18/04/1901,08/09/1988,male,Machen,,,,Clwb Rygbi Caerdydd ,Canolwr,Cymru,Mel,,18/04/1901,08/09/1988,gwryw,Machen,
Wales national rugby union team,centre,Wales,Mel,,18/04/1901,08/09/1988,male,Machen,,,,Tîm undeb rygbi cenedlaethol Cymru,Canolwr,Cymru,Mel,,18/04/1901,08/09/1988,gwryw,Machen,
Glamorgan Police RFC,centre,United Kingdom,Mel,,18/04/1901,08/09/1988,male,Machen,,,,Clwb Rygbi Heddlu Morgannwg,Canolwr,Y Deyrnas Unedig,Mel,,18/04/1901,08/09/1988,gwryw,Machen,
Great Britain national rugby league team,centre,United Kingdom,Mel,,18/04/1901,08/09/1988,male,Machen,,,,Tîm rygbi cynghrair cenedlaethol Prydain Fawr,Canolwr,Y Deyrnas Unedig,Mel,,18/04/1901,08/09/1988,gwryw,Machen,
York City Knights,centre,United Kingdom,Mel,,18/04/1901,08/09/1988,male,Machen,,,,York City Knights,Canolwr,Y Deyrnas Unedig,Mel,,18/04/1901,08/09/1988,gwryw,Machen,
Wales national rugby league team,centre,United Kingdom,Mel,,18/04/1901,08/09/1988,male,Machen,,,,Tîm rygbi cynghrair cenedlaethol Cymru,Canolwr,Y Deyrnas Unedig,Mel,,18/04/1901,08/09/1988,gwryw,Machen,
Penarth RFC,centre,United Kingdom,Mel,,18/04/1901,08/09/1988,male,Machen,,,,Clwb Rygbi Penarth ,Canolwr,Y Deyrnas Unedig,Mel,,18/04/1901,08/09/1988,gwryw,Machen,
Castleford Tigers,centre,United Kingdom,Mel,,18/04/1901,08/09/1988,male,Machen,,,,Castleford Tigers,Canolwr,Y Deyrnas Unedig,Mel,,18/04/1901,08/09/1988,gwryw,Machen,
Leeds Rhinos,centre,United Kingdom,Mel,,18/04/1901,08/09/1988,male,Machen,,,,Leeds Rhinos,Canolwr,Y Deyrnas Unedig,Mel,,18/04/1901,08/09/1988,gwryw,Machen,
Cardiff RFC,centre,United Kingdom,Mel,,18/04/1901,08/09/1988,male,Machen,,,,Clwb Rygbi Caerdydd ,Canolwr,Y Deyrnas Unedig,Mel,,18/04/1901,08/09/1988,gwryw,Machen,
Wales national rugby union team,centre,United Kingdom,Mel,,18/04/1901,08/09/1988,male,Machen,,,,Tîm undeb rygbi cenedlaethol Cymru,Canolwr,Y Deyrnas Unedig,Mel,,18/04/1901,08/09/1988,gwryw,Machen,
Glamorgan Police RFC,centre,United Kingdom of Great Britain and Ireland,Mel,,18/04/1901,08/09/1988,male,Machen,,,,Clwb Rygbi Heddlu Morgannwg,Canolwr,"Teyrnas Unedig Prydain Fawr ac Iwerddon
",Mel,,18/04/1901,08/09/1988,gwryw,Machen,
Great Britain national rugby league team,centre,United Kingdom of Great Britain and Ireland,Mel,,18/04/1901,08/09/1988,male,Machen,,,,Tîm rygbi cynghrair cenedlaethol Prydain Fawr,Canolwr,"Teyrnas Unedig Prydain Fawr ac Iwerddon
",Mel,,18/04/1901,08/09/1988,gwryw,Machen,
York City Knights,centre,United Kingdom of Great Britain and Ireland,Mel,,18/04/1901,08/09/1988,male,Machen,,,,York City Knights,Canolwr,"Teyrnas Unedig Prydain Fawr ac Iwerddon
",Mel,,18/04/1901,08/09/1988,gwryw,Machen,
Wales national rugby league team,centre,United Kingdom of Great Britain and Ireland,Mel,,18/04/1901,08/09/1988,male,Machen,,,,Tîm rygbi cynghrair cenedlaethol Cymru,Canolwr,"Teyrnas Unedig Prydain Fawr ac Iwerddon
",Mel,,18/04/1901,08/09/1988,gwryw,Machen,
Penarth RFC,centre,United Kingdom of Great Britain and Ireland,Mel,,18/04/1901,08/09/1988,male,Machen,,,,Clwb Rygbi Penarth ,Canolwr,"Teyrnas Unedig Prydain Fawr ac Iwerddon
",Mel,,18/04/1901,08/09/1988,gwryw,Machen,
Castleford Tigers,centre,United Kingdom of Great Britain and Ireland,Mel,,18/04/1901,08/09/1988,male,Machen,,,,Castleford Tigers,Canolwr,"Teyrnas Unedig Prydain Fawr ac Iwerddon
",Mel,,18/04/1901,08/09/1988,gwryw,Machen,
Leeds Rhinos,centre,United Kingdom of Great Britain and Ireland,Mel,,18/04/1901,08/09/1988,male,Machen,,,,Leeds Rhinos,Canolwr,"Teyrnas Unedig Prydain Fawr ac Iwerddon
",Mel,,18/04/1901,08/09/1988,gwryw,Machen,
