Team ,Position on team,Country of Citizenship,Given Name,Family Name ,Date of Birth,Date of Death,Sex,Place of birth,Place of death
England national rugby union team,prop,United Kingdom,,,1898-03-05,1985-11-10,male,Abergavenny,Honiton
England national rugby union team,prop,United Kingdom of Great Britain and Ireland,,,1898-03-05,1985-11-10,male,Abergavenny,Honiton
Wales national under-18 rugby union team,,Wales,Phil,,1985-05-15,,male,Caerphilly,
Exeter Chiefs,,Wales,Phil,,1985-05-15,,male,Caerphilly,
Dragons,,Wales,Phil,,1985-05-15,,male,Caerphilly,
Scarlets,prop,Wales,Phil,John,1981-04-25,,male,Gorseinon,
Dragons,,Wales,Phil,Price,1988-11-10,,male,Bridgend,
Workington Town,,Wales,Raymond,Wilkins,1950-10-03,,male,Neath,
Wales national rugby league team,,Wales,Raymond,Wilkins,1950-10-03,,male,Neath,
Aberavon RFC,,Wales,Raymond,Wilkins,1950-10-03,,male,Neath,
Wales national rugby league team,,Wales,Rees,Richards,1886-01-01,,male,Cwmavon,
Wigan Warriors,,Wales,Rees,Richards,1886-01-01,,male,Cwmavon,
Wales national rugby union team,,Wales,Rees,Richards,1886-01-01,,male,Cwmavon,
Aberavon RFC,,Wales,Rees,Richards,1886-01-01,,male,Cwmavon,
Wales national rugby league team,,United Kingdom,Rees,Richards,1886-01-01,,male,Cwmavon,
Wigan Warriors,,United Kingdom,Rees,Richards,1886-01-01,,male,Cwmavon,
Wales national rugby union team,,United Kingdom,Rees,Richards,1886-01-01,,male,Cwmavon,
Aberavon RFC,,United Kingdom,Rees,Richards,1886-01-01,,male,Cwmavon,
St Helens RLFC,hooker,Wales,Reg,,1924-09-01,2006-06-20,male,Newport,Parr
Wales national rugby union team,hooker,Wales,Reg,,1924-09-01,2006-06-20,male,Newport,Parr
St Helens RLFC,hooker,United Kingdom,Reg,,1924-09-01,2006-06-20,male,Newport,Parr
Wales national rugby union team,hooker,United Kingdom,Reg,,1924-09-01,2006-06-20,male,Newport,Parr
St Helens RLFC,hooker,United Kingdom of Great Britain and Ireland,Reg,,1924-09-01,2006-06-20,male,Newport,Parr
Wales national rugby union team,hooker,United Kingdom of Great Britain and Ireland,Reg,,1924-09-01,2006-06-20,male,Newport,Parr
Oldham Roughyeds,,Wales,Reginald,,1907-01-01,,male,Newport,
Wales national rugby league team,,Wales,Reginald,,1907-01-01,,male,Newport,
Wigan Warriors,,Wales,Reginald,,1907-01-01,,male,Newport,
Cross Keys RFC,prop,Wales,Rex,Richards,1934-02-04,1989-03-06,male,Newport,Miami
Wales national rugby union team,prop,Wales,Rex,Richards,1934-02-04,1989-03-06,male,Newport,Miami
Cross Keys RFC,prop,United Kingdom,Rex,Richards,1934-02-04,1989-03-06,male,Newport,Miami
Wales national rugby union team,prop,United Kingdom,Rex,Richards,1934-02-04,1989-03-06,male,Newport,Miami
Wales national under-20 rugby union team,,Wales,,Davies,1983-01-11,,male,Carmarthen,
Wales national under-18 rugby union team,,Wales,,Davies,1983-01-11,,male,Carmarthen,
Loughborough Students RUFC,,Wales,,Davies,1983-01-11,,male,Carmarthen,
Northampton Saints,,Wales,,Davies,1983-01-11,,male,Carmarthen,
Scarlets,,Wales,,Davies,1983-01-11,,male,Carmarthen,
Dragons,,Wales,,Davies,1983-01-11,,male,Carmarthen,
Wales national rugby union team (sevens),,Wales,,McAtee,1984-08-02,,male,Newport,
Worcester Warriors,,Wales,,McAtee,1984-08-02,,male,Newport,
Cornish Pirates,,Wales,,McAtee,1984-08-02,,male,Newport,
Barbarians,,Wales,,McAtee,1984-08-02,,male,Newport,
Birmingham Moseley Rugby Club,,Wales,Rhys,Buckley,1989-06-18,,male,Caerphilly,
Dragons,,Wales,Rhys,Buckley,1989-06-18,,male,Caerphilly,
Dragons,,Wales,Rhys,Jenkins,1990-06-15,,male,Caerleon,
Wales national under-20 rugby union team,fly-half,Wales,Rhys,Jones,1987-08-23,,male,Abergavenny,
Sale Sharks,fly-half,Wales,Rhys,Jones,1987-08-23,,male,Abergavenny,
Barbarians,fly-half,Wales,Rhys,Jones,1987-08-23,,male,Abergavenny,
Scarlets,fly-half,Wales,Rhys,Jones,1987-08-23,,male,Abergavenny,
Wales national under-20 rugby union team,centre,Wales,Rhys,Williams,1988-01-27,,male,Swansea,
Wales national under-18 rugby union team,centre,Wales,Rhys,Williams,1988-01-27,,male,Swansea,
Llandovery RFC,centre,Wales,Rhys,Williams,1988-01-27,,male,Swansea,
Scarlets,flanker,United Kingdom,Martyn,Madden,1973-12-04,,male,Cardiff,
Gloucester Rugby,,Wales,Martyn,Thomas,1987-04-24,,male,Carmarthen,
Scarlets,,Wales,Martyn,Thomas,1987-04-24,,male,Carmarthen,
Dragons,,Wales,Martyn,Thomas,1987-04-24,,male,Carmarthen,
Ospreys,,Wales,Matthew,,1985-01-18,,male,Newport,
Birmingham & Solihull R.F.C.,,Wales,Matthew,,1983-07-06,,male,Pontypridd,
Pontypridd RFC,,Wales,Matthew,,1983-07-06,,male,Pontypridd,
Wales national under-20 rugby union team,,Wales,Matthew,,1990-12-26,,male,Newport,
Dragons,,Wales,Matthew,,1990-12-26,,male,Newport,
Wales national under-20 rugby union team,,United Kingdom,Matthew,,1990-12-26,,male,Newport,
Dragons,,United Kingdom,Matthew,,1990-12-26,,male,Newport,
Glamorgan Police RFC,centre,Wales,Mel,,1901-04-18,1988-09-08,male,Machen,
Great Britain national rugby league team,centre,Wales,Mel,,1901-04-18,1988-09-08,male,Machen,
York City Knights,centre,Wales,Mel,,1901-04-18,1988-09-08,male,Machen,
Wales national rugby league team,centre,Wales,Mel,,1901-04-18,1988-09-08,male,Machen,
Penarth RFC,centre,Wales,Mel,,1901-04-18,1988-09-08,male,Machen,
Castleford Tigers,centre,Wales,Mel,,1901-04-18,1988-09-08,male,Machen,
Leeds Rhinos,centre,Wales,Mel,,1901-04-18,1988-09-08,male,Machen,
Cardiff RFC,centre,Wales,Mel,,1901-04-18,1988-09-08,male,Machen,
Wales national rugby union team,centre,Wales,Mel,,1901-04-18,1988-09-08,male,Machen,
Glamorgan Police RFC,centre,United Kingdom,Mel,,1901-04-18,1988-09-08,male,Machen,
Great Britain national rugby league team,centre,United Kingdom,Mel,,1901-04-18,1988-09-08,male,Machen,
York City Knights,centre,United Kingdom,Mel,,1901-04-18,1988-09-08,male,Machen,
Wales national rugby league team,centre,United Kingdom,Mel,,1901-04-18,1988-09-08,male,Machen,
Penarth RFC,centre,United Kingdom,Mel,,1901-04-18,1988-09-08,male,Machen,
Castleford Tigers,centre,United Kingdom,Mel,,1901-04-18,1988-09-08,male,Machen,
Leeds Rhinos,centre,United Kingdom,Mel,,1901-04-18,1988-09-08,male,Machen,
Cardiff RFC,centre,United Kingdom,Mel,,1901-04-18,1988-09-08,male,Machen,
Wales national rugby union team,centre,United Kingdom,Mel,,1901-04-18,1988-09-08,male,Machen,
Glamorgan Police RFC,centre,United Kingdom of Great Britain and Ireland,Mel,,1901-04-18,1988-09-08,male,Machen,
Great Britain national rugby league team,centre,United Kingdom of Great Britain and Ireland,Mel,,1901-04-18,1988-09-08,male,Machen,
York City Knights,centre,United Kingdom of Great Britain and Ireland,Mel,,1901-04-18,1988-09-08,male,Machen,
Wales national rugby league team,centre,United Kingdom of Great Britain and Ireland,Mel,,1901-04-18,1988-09-08,male,Machen,
Penarth RFC,centre,United Kingdom of Great Britain and Ireland,Mel,,1901-04-18,1988-09-08,male,Machen,
Castleford Tigers,centre,United Kingdom of Great Britain and Ireland,Mel,,1901-04-18,1988-09-08,male,Machen,
Leeds Rhinos,centre,United Kingdom of Great Britain and Ireland,Mel,,1901-04-18,1988-09-08,male,Machen,
Cardiff RFC,centre,United Kingdom of Great Britain and Ireland,Mel,,1901-04-18,1988-09-08,male,Machen,
Wales national rugby union team,centre,United Kingdom of Great Britain and Ireland,Mel,,1901-04-18,1988-09-08,male,Machen,
Wales national rugby league team,,Wales,Melville,Lloyd,1917-04-02,1985-01-01,male,Resolven,Resolven
Keighley Cougars,,Wales,Melville,Lloyd,1917-04-02,1985-01-01,male,Resolven,Resolven
Warrington Wolves,,Wales,Melville,Lloyd,1917-04-02,1985-01-01,male,Resolven,Resolven
Llanelli RFC,,Wales,Melville,Lloyd,1917-04-02,1985-01-01,male,Resolven,Resolven
Scarlets,winger,Wales,Mike,Poole,1986-04-23,,male,Cardiff,
Dragons,winger,Wales,Mike,Poole,1986-04-23,,male,Cardiff,
Cardiff RFC,hooker,Wales,Mike,Watkins,1952-01-09,,male,Abercarn,
Wales national rugby union team,hooker,Wales,Mike,Watkins,1952-01-09,,male,Abercarn,
Barbarians,hooker,Wales,Mike,Watkins,1952-01-09,,male,Abercarn,
Cardiff RFC,hooker,United Kingdom,Mike,Watkins,1952-01-09,,male,Abercarn,
Wales national rugby union team,hooker,United Kingdom,Mike,Watkins,1952-01-09,,male,Abercarn,
Barbarians,hooker,United Kingdom,Mike,Watkins,1952-01-09,,male,Abercarn,
Wales national under-20 rugby union team,flanker,Wales,Morgan,Allen,1990-03-12,,male,Newport,
Wales national under-18 rugby union team,flanker,Wales,Morgan,Allen,1990-03-12,,male,Newport,
Ospreys,flanker,Wales,Morgan,Allen,1990-03-12,,male,Newport,
Pontypool RFC,flanker,Wales,Morgan,Allen,1990-03-12,,male,Newport,
Swansea RFC,flanker,Wales,Morgan,Allen,1990-03-12,,male,Newport,
Wales national rugby union team (sevens),,Wales,Adam,Thomas,1986-08-22,,male,Ynysybwl,
Pontypridd RFC,,Wales,Adam,Thomas,1986-08-22,,male,Ynysybwl,
Wales national rugby union team,fly-half,Wales,Adam,Warren,1991-03-07,,male,Burry Port,
Scarlets,fly-half,Wales,Adam,Warren,1991-03-07,,male,Burry Port,
Dragons,fly-half,Wales,Adam,Warren,1991-03-07,,male,Burry Port,
Wales national rugby union team,fly-half,United Kingdom,Adam,Warren,1991-03-07,,male,Burry Port,
Scarlets,fly-half,United Kingdom,Adam,Warren,1991-03-07,,male,Burry Port,
Dragons,fly-half,United Kingdom,Adam,Warren,1991-03-07,,male,Burry Port,
Wales national rugby league team,,Wales,Adrian,,1962-01-01,,male,Swansea,
Hull F.C.,,Wales,Adrian,,1962-01-01,,male,Swansea,
London Broncos,,Wales,Adrian,,1962-01-01,,male,Swansea,
Swansea RFC,,Wales,Adrian,,1962-01-01,,male,Swansea,
Glamorgan County Cricket Club,fly-half,Wales,Alan,Rees,1938-02-17,,male,Neath,
Leeds Rhinos,fly-half,Wales,Alan,Rees,1938-02-17,,male,Neath,
Maesteg RFC,fly-half,Wales,Alan,Rees,1938-02-17,,male,Neath,
Wales national rugby union team,fly-half,Wales,Alan,Rees,1938-02-17,,male,Neath,
Glamorgan County Cricket Club,fly-half,United Kingdom,Alan,Rees,1938-02-17,,male,Neath,
Leeds Rhinos,fly-half,United Kingdom,Alan,Rees,1938-02-17,,male,Neath,
Maesteg RFC,fly-half,United Kingdom,Alan,Rees,1938-02-17,,male,Neath,
Wales national rugby union team,fly-half,United Kingdom,Alan,Rees,1938-02-17,,male,Neath,
Abertillery RFC,flanker,Wales,Albert,Fear,1907-08-25,2000-07-26,male,Abertillery,Bridgend
Newport RFC,flanker,Wales,Albert,Fear,1907-08-25,2000-07-26,male,Abertillery,Bridgend
Wales national rugby union team,flanker,Wales,Albert,Fear,1907-08-25,2000-07-26,male,Abertillery,Bridgend
Abertillery RFC,flanker,United Kingdom,Albert,Fear,1907-08-25,2000-07-26,male,Abertillery,Bridgend
Newport RFC,flanker,United Kingdom,Albert,Fear,1907-08-25,2000-07-26,male,Abertillery,Bridgend
Wales national rugby union team,flanker,United Kingdom,Albert,Fear,1907-08-25,2000-07-26,male,Abertillery,Bridgend
Abertillery RFC,flanker,United Kingdom of Great Britain and Ireland,Albert,Fear,1907-08-25,2000-07-26,male,Abertillery,Bridgend
Newport RFC,flanker,United Kingdom of Great Britain and Ireland,Albert,Fear,1907-08-25,2000-07-26,male,Abertillery,Bridgend
Wales national rugby union team,flanker,United Kingdom of Great Britain and Ireland,Albert,Fear,1907-08-25,2000-07-26,male,Abertillery,Bridgend
Wales national under-20 rugby union team,winger,Wales,Alec,Jenkins,1987-07-07,,male,Wales,
Wales national under-18 rugby union team,winger,Wales,Alec,Jenkins,1987-07-07,,male,Wales,
Neath RFC,winger,Wales,Alec,Jenkins,1987-07-07,,male,Wales,
Llanelli RFC,winger,Wales,Alec,Jenkins,1987-07-07,,male,Wales,
London Welsh RFC,winger,Wales,Alec,Jenkins,1987-07-07,,male,Wales,
Scarlets,winger,Wales,Alec,Jenkins,1987-07-07,,male,Wales,
Widnes Vikings,,Wales,Aled,James,1982-02-17,,male,Caerphilly,
Sheffield Eagles,,Wales,Aled,James,1982-02-17,,male,Caerphilly,
Wales national rugby league team,,Wales,Aled,James,1982-02-17,,male,Caerphilly,
London Welsh RFC,,Wales,Aled,Thomas,1985-01-02,,male,Wales,
Barbarians,,Wales,Aled,Thomas,1985-01-02,,male,Wales,
Scarlets,,Wales,Aled,Thomas,1985-01-02,,male,Wales,
Dragons,,Wales,Aled,Thomas,1985-01-02,,male,Wales,
Oldham Roughyeds,scrum-half,Wales,Alex,,1914-01-01,2002-01-01,male,Pillgwenlly,Oldham
Wales national rugby league team,scrum-half,Wales,Alex,,1914-01-01,2002-01-01,male,Pillgwenlly,Oldham
Huddersfield Giants,scrum-half,Wales,Alex,,1914-01-01,2002-01-01,male,Pillgwenlly,Oldham
Cross Keys RFC,scrum-half,Wales,Alex,,1914-01-01,2002-01-01,male,Pillgwenlly,Oldham
Oldham Roughyeds,winger,Wales,Alex,,1942-11-18,2015-11-30,male,Wales,
Wales national rugby league team,winger,Wales,Alex,,1942-11-18,2015-11-30,male,Wales,
Huddersfield Giants,winger,Wales,Alex,,1942-11-18,2015-11-30,male,Wales,
London Welsh RFC,winger,Wales,Alex,,1942-11-18,2015-11-30,male,Wales,
Oldham Roughyeds,centre,Wales,Alex,,1942-11-18,2015-11-30,male,Wales,
Wales national rugby league team,centre,Wales,Alex,,1942-11-18,2015-11-30,male,Wales,
Huddersfield Giants,centre,Wales,Alex,,1942-11-18,2015-11-30,male,Wales,
London Welsh RFC,centre,Wales,Alex,,1942-11-18,2015-11-30,male,Wales,
Oldham Roughyeds,winger,United Kingdom,Alex,,1942-11-18,2015-11-30,male,Wales,
Wales national rugby league team,winger,United Kingdom,Alex,,1942-11-18,2015-11-30,male,Wales,
Huddersfield Giants,winger,United Kingdom,Alex,,1942-11-18,2015-11-30,male,Wales,
London Welsh RFC,winger,United Kingdom,Alex,,1942-11-18,2015-11-30,male,Wales,
Oldham Roughyeds,centre,United Kingdom,Alex,,1942-11-18,2015-11-30,male,Wales,
Wales national rugby league team,centre,United Kingdom,Alex,,1942-11-18,2015-11-30,male,Wales,
Huddersfield Giants,centre,United Kingdom,Alex,,1942-11-18,2015-11-30,male,Wales,
London Welsh RFC,centre,United Kingdom,Alex,,1942-11-18,2015-11-30,male,Wales,
London Welsh RFC,,Wales,Alex,Walker,1986-07-31,,male,Newport,
Cardiff RFC,,Wales,Alex,Walker,1986-07-31,,male,Newport,
Scarlets,,Wales,Alex,Walker,1986-07-31,,male,Newport,
Dragons,,Wales,Alex,Walker,1986-07-31,,male,Newport,
Paphos Tigers,flanker,Wales,Alun,Pugh,1983-03-04,,male,Wales,
Cyprus national rugby union team,flanker,Wales,Alun,Pugh,1983-03-04,,male,Wales,
Dragons,,Wales,Andrew,Brown,1980-04-20,,male,Pontypool,
Dragons,,United Kingdom,Andrew,Brown,1980-04-20,,male,Pontypool,
Wales national rugby union team,lock,Wales,Andrew,,1984-10-27,,male,Merthyr Tydfil,
Dragons,lock,Wales,Andrew,,1984-10-27,,male,Merthyr Tydfil,
Wales national rugby union team,lock,United Kingdom,Andrew,,1984-10-27,,male,Merthyr Tydfil,
Dragons,lock,United Kingdom,Andrew,,1984-10-27,,male,Merthyr Tydfil,
Ospreys,,Wales,Andrew,,1972-12-01,,male,Wales,
Ospreys,,United Kingdom,Andrew,,1972-12-01,,male,Wales,
London Irish RFC,winger,Wales,Andy,,1985-10-24,,male,St Asaph,
Newcastle Falcons,winger,Wales,Andy,,1985-10-24,,male,St Asaph,
Scarlets,winger,Wales,Andy,,1985-10-24,,male,St Asaph,
Ospreys,flanker,Wales,Andy,Lloyd,1981-04-09,,male,Wales,
Wales national rugby union team,flanker,Wales,Andy,Lloyd,1981-04-09,,male,Wales,
Ospreys,flanker,United Kingdom,Andy,Lloyd,1981-04-09,,male,Wales,
Wales national rugby union team,flanker,United Kingdom,Andy,Lloyd,1981-04-09,,male,Wales,
Cardiff RFC,,Wales,Anthony,Jones,1879-01-01,1959-10-23,male,Llanelli,Merthyr Vale
Wales national rugby union team,,Wales,Anthony,Jones,1879-01-01,1959-10-23,male,Llanelli,Merthyr Vale
Cardiff RFC,,United Kingdom,Anthony,Jones,1879-01-01,1959-10-23,male,Llanelli,Merthyr Vale
Wales national rugby union team,,United Kingdom,Anthony,Jones,1879-01-01,1959-10-23,male,Llanelli,Merthyr Vale
Cardiff RFC,,United Kingdom of Great Britain and Ireland,Anthony,Jones,1879-01-01,1959-10-23,male,Llanelli,Merthyr Vale
Wales national rugby union team,,United Kingdom of Great Britain and Ireland,Anthony,Jones,1879-01-01,1959-10-23,male,Llanelli,Merthyr Vale
Leeds Rhinos,scrum-half,Wales,Archie,Brown,1894-11-02,,male,Crosskeys,
Cross Keys RFC,scrum-half,Wales,Archie,Brown,1894-11-02,,male,Crosskeys,
Wales national rugby union team,scrum-half,Wales,Archie,Brown,1894-11-02,,male,Crosskeys,
Leeds Rhinos,scrum-half,United Kingdom,Archie,Brown,1894-11-02,,male,Crosskeys,
Cross Keys RFC,scrum-half,United Kingdom,Archie,Brown,1894-11-02,,male,Crosskeys,
Wales national rugby union team,scrum-half,United Kingdom,Archie,Brown,1894-11-02,,male,Crosskeys,
Glamorgan Police RFC,winger,Wales,Arthur,Bassett,1914-06-28,1999-12-30,male,Kenfig Hill,Matlock
Great Britain national rugby league team,winger,Wales,Arthur,Bassett,1914-06-28,1999-12-30,male,Kenfig Hill,Matlock
York City Knights,winger,Wales,Arthur,Bassett,1914-06-28,1999-12-30,male,Kenfig Hill,Matlock
Wales national rugby league team,winger,Wales,Arthur,Bassett,1914-06-28,1999-12-30,male,Kenfig Hill,Matlock
Halifax RLFC,winger,Wales,Arthur,Bassett,1914-06-28,1999-12-30,male,Kenfig Hill,Matlock
Wales national rugby union team,centre,United Kingdom,Jerry,,1892-08-12,1947-06-30,male,Newport,Newport
Pill Harriers RFC,centre,United Kingdom of Great Britain and Ireland,Jerry,,1892-08-12,1947-06-30,male,Newport,Newport
Wales national rugby league team,centre,United Kingdom of Great Britain and Ireland,Jerry,,1892-08-12,1947-06-30,male,Newport,Newport
Wigan Warriors,centre,United Kingdom of Great Britain and Ireland,Jerry,,1892-08-12,1947-06-30,male,Newport,Newport
Wales national rugby union team,centre,United Kingdom of Great Britain and Ireland,Jerry,,1892-08-12,1947-06-30,male,Newport,Newport
Great Britain national rugby league team,,Wales,Jim,Bacon,1896-01-01,1968-12-01,male,Newport,Weston-super-Mare
Wales national rugby league team,,Wales,Jim,Bacon,1896-01-01,1968-12-01,male,Newport,Weston-super-Mare
Leeds Rhinos,,Wales,Jim,Bacon,1896-01-01,1968-12-01,male,Newport,Weston-super-Mare
Cross Keys RFC,,Wales,Jim,Bacon,1896-01-01,1968-12-01,male,Newport,Weston-super-Mare
Great Britain national rugby league team,,United Kingdom,Jim,Bacon,1896-01-01,1968-12-01,male,Newport,Weston-super-Mare
Wales national rugby league team,,United Kingdom,Jim,Bacon,1896-01-01,1968-12-01,male,Newport,Weston-super-Mare
Leeds Rhinos,,United Kingdom,Jim,Bacon,1896-01-01,1968-12-01,male,Newport,Weston-super-Mare
Cross Keys RFC,,United Kingdom,Jim,Bacon,1896-01-01,1968-12-01,male,Newport,Weston-super-Mare
Great Britain national rugby league team,,United Kingdom of Great Britain and Ireland,Jim,Bacon,1896-01-01,1968-12-01,male,Newport,Weston-super-Mare
Wales national rugby league team,,United Kingdom of Great Britain and Ireland,Jim,Bacon,1896-01-01,1968-12-01,male,Newport,Weston-super-Mare
Leeds Rhinos,,United Kingdom of Great Britain and Ireland,Jim,Bacon,1896-01-01,1968-12-01,male,Newport,Weston-super-Mare
Cross Keys RFC,,United Kingdom of Great Britain and Ireland,Jim,Bacon,1896-01-01,1968-12-01,male,Newport,Weston-super-Mare
Workington Town,,Wales,Jim,Mills,1944-09-24,,male,Aberdare,
Great Britain national rugby league team,,Wales,Jim,Mills,1944-09-24,,male,Aberdare,
Widnes Vikings,,Wales,Jim,Mills,1944-09-24,,male,Aberdare,
Salford Red Devils,,Wales,Jim,Mills,1944-09-24,,male,Aberdare,
Wales national rugby league team,,Wales,Jim,Mills,1944-09-24,,male,Aberdare,
Halifax RLFC,,Wales,Jim,Mills,1944-09-24,,male,Aberdare,
Bradford Bulls,,Wales,Jim,Mills,1944-09-24,,male,Aberdare,
Cardiff RFC,,Wales,Jim,Mills,1944-09-24,,male,Aberdare,
Workington Town,,Australia,Jim,Mills,1944-09-24,,male,Aberdare,
Great Britain national rugby league team,,Australia,Jim,Mills,1944-09-24,,male,Aberdare,
Widnes Vikings,,Australia,Jim,Mills,1944-09-24,,male,Aberdare,
Salford Red Devils,,Australia,Jim,Mills,1944-09-24,,male,Aberdare,
Wales national rugby league team,,Australia,Jim,Mills,1944-09-24,,male,Aberdare,
Halifax RLFC,,Australia,Jim,Mills,1944-09-24,,male,Aberdare,
Bradford Bulls,,Australia,Jim,Mills,1944-09-24,,male,Aberdare,
Cardiff RFC,,Australia,Jim,Mills,1944-09-24,,male,Aberdare,
Wales national under-20 rugby union team,,Wales,Joe,,1990-08-31,,male,Swansea,
Ospreys,,Wales,Joe,,1990-08-31,,male,Swansea,
Swansea RFC,,Wales,Joe,,1990-08-31,,male,Swansea,
Neath RFC,flanker,Wales,John,Davies,1941-02-20,1969-04-16,male,Neath,Dewsbury
Leeds Rhinos,flanker,Wales,John,Davies,1941-02-20,1969-04-16,male,Neath,Dewsbury
Wales national rugby union team,flanker,Wales,John,Davies,1941-02-20,1969-04-16,male,Neath,Dewsbury
Neath RFC,flanker,United Kingdom,John,Davies,1941-02-20,1969-04-16,male,Neath,Dewsbury
Leeds Rhinos,flanker,United Kingdom,John,Davies,1941-02-20,1969-04-16,male,Neath,Dewsbury
Wales national rugby union team,flanker,United Kingdom,John,Davies,1941-02-20,1969-04-16,male,Neath,Dewsbury
Richmond F.C.,prop,Wales,John,Davies,1969-02-01,,male,Cardigan,
Llanelli RFC,prop,Wales,John,Davies,1969-02-01,,male,Cardigan,
Wales national rugby union team,prop,Wales,John,Davies,1969-02-01,,male,Cardigan,
Scarlets,prop,Wales,John,Davies,1969-02-01,,male,Cardigan,
Richmond F.C.,prop,United Kingdom,John,Davies,1969-02-01,,male,Cardigan,
Llanelli RFC,prop,United Kingdom,John,Davies,1969-02-01,,male,Cardigan,
Wales national rugby union team,prop,United Kingdom,John,Davies,1969-02-01,,male,Cardigan,
Scarlets,prop,United Kingdom,John,Davies,1969-02-01,,male,Cardigan,
Newport RFC,hooker,Wales,John,Evans,1911-09-12,1943-03-08,male,Newport,
Wales national rugby union team,hooker,Wales,John,Evans,1911-09-12,1943-03-08,male,Newport,
Barbarians,hooker,Wales,John,Evans,1911-09-12,1943-03-08,male,Newport,
Newport RFC,hooker,United Kingdom,John,Evans,1911-09-12,1943-03-08,male,Newport,
Wales national rugby union team,hooker,United Kingdom,John,Evans,1911-09-12,1943-03-08,male,Newport,
Barbarians,hooker,United Kingdom,John,Evans,1911-09-12,1943-03-08,male,Newport,
Newport RFC,hooker,United Kingdom of Great Britain and Ireland,John,Evans,1911-09-12,1943-03-08,male,Newport,
Wales national rugby union team,hooker,United Kingdom of Great Britain and Ireland,John,Evans,1911-09-12,1943-03-08,male,Newport,
Barbarians,hooker,United Kingdom of Great Britain and Ireland,John,Evans,1911-09-12,1943-03-08,male,Newport,
Wales national rugby league team,centre,Wales,John,Freeman,1934-01-01,2017-06-23,male,Cardiff,
Halifax RLFC,centre,Wales,John,Freeman,1934-01-01,2017-06-23,male,Cardiff,
Wales national rugby league team,centre,United Kingdom,John,Freeman,1934-01-01,2017-06-23,male,Cardiff,
Halifax RLFC,centre,United Kingdom,John,Freeman,1934-01-01,2017-06-23,male,Cardiff,
Llanelli RFC,,Wales,John,,1859-12-25,1935-05-09,male,Llanelli,Llanelli
Wales national rugby union team,,Wales,John,,1859-12-25,1935-05-09,male,Llanelli,Llanelli
Llanelli RFC,,United Kingdom,John,,1859-12-25,1935-05-09,male,Llanelli,Llanelli
Wales national rugby union team,,United Kingdom,John,,1859-12-25,1935-05-09,male,Llanelli,Llanelli
Llanelli RFC,,United Kingdom of Great Britain and Ireland,John,,1859-12-25,1935-05-09,male,Llanelli,Llanelli
Wales national rugby union team,,United Kingdom of Great Britain and Ireland,John,,1859-12-25,1935-05-09,male,Llanelli,Llanelli
Wales national rugby league team,,Wales,John,Jenkins,1880-04-19,1971-12-01,male,Newbridge,
Warrington Wolves,,Wales,John,Jenkins,1880-04-19,1971-12-01,male,Newbridge,
Wales national rugby league team,,United Kingdom,John,Jenkins,1880-04-19,1971-12-01,male,Newbridge,
Warrington Wolves,,United Kingdom,John,Jenkins,1880-04-19,1971-12-01,male,Newbridge,
Wales national rugby league team,,United Kingdom of Great Britain and Ireland,John,Jenkins,1880-04-19,1971-12-01,male,Newbridge,
Warrington Wolves,,United Kingdom of Great Britain and Ireland,John,Jenkins,1880-04-19,1971-12-01,male,Newbridge,
Wakefield Trinity,,Wales,John,Davies,1927-08-24,1995-01-01,male,Skewen,Wakefield
Neath RFC,,Wales,John,Davies,1927-08-24,1995-01-01,male,Skewen,Wakefield
Great Britain national rugby league team,,Wales,John,,1927-01-01,2005-07-12,male,Mountain Ash,Ben Rhydding
Wales national rugby league team,,Wales,John,,1927-01-01,2005-07-12,male,Mountain Ash,Ben Rhydding
Halifax RLFC,,Wales,John,,1927-01-01,2005-07-12,male,Mountain Ash,Ben Rhydding
Neath RFC,,Wales,John,,1927-01-01,2005-07-12,male,Mountain Ash,Ben Rhydding
Great Britain national rugby league team,,United Kingdom,John,,1927-01-01,2005-07-12,male,Mountain Ash,Ben Rhydding
Wales national rugby league team,,United Kingdom,John,,1927-01-01,2005-07-12,male,Mountain Ash,Ben Rhydding
Halifax RLFC,,United Kingdom,John,,1927-01-01,2005-07-12,male,Mountain Ash,Ben Rhydding
Neath RFC,,United Kingdom,John,,1927-01-01,2005-07-12,male,Mountain Ash,Ben Rhydding
Great Britain national rugby league team,winger,Wales,Johnny,Ring,1900-11-13,1984-11-10,male,Port Talbot,Wigan
Wales national rugby league team,winger,Wales,Johnny,Ring,1900-11-13,1984-11-10,male,Port Talbot,Wigan
Wigan Warriors,winger,Wales,Johnny,Ring,1900-11-13,1984-11-10,male,Port Talbot,Wigan
Wales national rugby union team,winger,Wales,Johnny,Ring,1900-11-13,1984-11-10,male,Port Talbot,Wigan
Aberavon RFC,winger,Wales,Johnny,Ring,1900-11-13,1984-11-10,male,Port Talbot,Wigan
Great Britain national rugby league team,winger,United Kingdom,Johnny,Ring,1900-11-13,1984-11-10,male,Port Talbot,Wigan
Wales national rugby league team,winger,United Kingdom,Johnny,Ring,1900-11-13,1984-11-10,male,Port Talbot,Wigan
Sale Sharks,centre,Wales,Jonathan,Bryant,1976-10-14,,male,Aberdare,
Wales national rugby union team,centre,Wales,Jonathan,Bryant,1976-10-14,,male,Aberdare,
Pontypridd RFC,centre,Wales,Jonathan,Bryant,1976-10-14,,male,Aberdare,
Dragons,centre,Wales,Jonathan,Bryant,1976-10-14,,male,Aberdare,
