Vejnavn,Tællested,År,Hastigheds-begrænsning,Gennemsnits- hastighed
SØREN FRICHS VEJ,v.f. A. Hertzums Vej,2014,50,46
TANDERVEJ,sv.f. Agervej,2013,50,40
TEROSEVEJ ,sv.f. Mosrosevej ,2014,50,34
TERP SKOVVEJ,ø.f. Stenhøjsvej,2009,50,48
TESTRUPVEJ,ø.f. Tingskovvej (på lige strækning),2014,40,40
THUNØGADE ,ø.f. Ny Munkegade ,2018,50,23
TILST SKOLEVEJ ,s.f. Havkærvej,2016,50,48
TILST VESTERVEJ ,sv. f. Søhøjen ,2014,50,64
TILST ØSTERVEJ,sv.f. Kastedvej,2018,50,43
TISETVEJ,sø.f. Hinnedrupvej,2018,80,71
TORDENSKJOLDSGADE ,n.f. Herluf Trolles Gade ,2013,50,41
TORSHØJVEJ,n.f. Hovedvejen,2018,80,73
TORSHØJVEJ,På bro over Østjyske Motorvej,2018,60,51
TORSHØJVEJ,ml. Østjysk Motorvej og Transportcenter,2018,60,61
TORSHØJVEJ ,ved broen over Aarhus Syd Motorvejen,2014,60,55
TORSHØJVEJ ,v.f. sydøstlig rampe ved Aarhus Syd Motorvejen,2014,60,55
TORSHØJVEJ ,ml. Aarhus Syd Motorvejen og Transportcenter,2014,60,60
TORSHØJVEJ ,v.f. Svanlevvej,2014,60,56
TORSHØJVEJ ,v.f. Østjyske Motorvej,2018,60,63
TOUSVEJ,nv.f. Søren Frichs Vej,2009,50,42
TRETOMMERVEJ,nv.f. Højagervej,2018,50,37
TRONDHJEMSGADE,n.f. Lindesnæsvej,2018,50,30
TULIPANVEJ,v.f. Enebærvej ,2013,50,44
VANDVEJEN,nv.f. Østhavnsvej,2018,50,28
VEJLBY RINGVEJ,sv. f. Bryggervej,2015,70,59
VENØVEJ,n.f. Orøvænget,2013,50,54
VESTERMØLLEVEJ,v.f. Hornsbjergvej,2008,80,67
VESTERMØLLEVEJ,sv.f. Holmkærvej ,2013,60,54
VESTRE KONGEVEJ,nø.f. Moltkesvej,2009,50,46
VESTRE RINGGADE,på Ringgadebroen,2018,60,55
VESTRE RINGGADE,nø.f. Eugen Warmings Vej,2017,60,59
VESTRE SKOVVEJ,s.f. Skovhusvej,2018,50,34
VESTRE STRANDALLÉ,ø.f. Hørgårdsvej,2018,50,49
VESTRE STRANDALLÉ,sv.f. Fortebakken ,2016,50,48
VIBORGVEJ,sø.f. Johan Langes Vej,2018,50,49
VIBORGVEJ,nv.f. Vestre Ringgade,2017,60,49
VIBORGVEJ,sø.f. Åby Ringvej,2018,60,52
VIBORGVEJ,v.f. Munkemosevej ,2017,70,60
VIBORGVEJ,ø.f. Bredskiftevej,2008,70,65
VIBORGVEJ ,v.f. Dalbovej,2014,70,60
VIBORGVEJ,ø.f. Havkærvej,2017,70,58
VIBORGVEJ,ø.f. Holmstruphøjvej,2011,70,64
VIBORGVEJ,ø.f. Anelystvej,2017,70,68
VIBORGVEJ,v.f. Anelystvej,2018,70,63
VIBORGVEJ,ø.f. Østjyske motorvej,2018,70,66
VIBY RINGVEJ,n.f. Søren Frichs Vej,2015,70,64
VIBY RINGVEJ,n.f. Åhavevej,2017,70,67
VIBYVEJ ,v.f. Kresten Kolds Vej,2016,50,42
VILHELM BECKS VEJ,v.f. Rosenvangs Allé,2018,50,49
VIOLVEJ,nv.f. Nordre Strandvej,2009,50,40
VIRUPVEJ ,n.f. Hundkærvej,2014,50,35
VISTOFTVEJ,n.f. Vistoftparken,2008,50,50
VORREGÅRDS ALLÉ,Ved skolen,2010,50,44
VOSNÆSVEJ ,v.f. Stenhusvej ,2012,50,52
VÅRKJÆRVEJ,n.f. Grøndalsvej,2017,30,30
VÅRKJÆRVEJ,s.f. Langvadsvej,2017,30,24
ØRNSTRUPVEJ ,v.f. Ørnelunden ,2012,50,54
ØRVADSVEJ,v.f. Tingstedet,2008,50,42
ØRVADSVEJ ,ø.f. Tingstedet ,2016,50,47
ØRVADSVEJ ,s.f. Silkeborgvej,2016,50,51
ØSTER ALLÉ ,s.f. Brorsonsvej ,2014,50,42
ØSTERGADE,v.f. Søndergade,2008,50,25
ØSTERGADE,v.f. Fredensgade,2008,50,26
ØSTERGÅRDSVEJ ,nv.f. Askgårdsvej,2012,80,72
ØSTERGÅRDSVEJ ,v.f. Mustrupvej,2017,50,47
ØSTERGÅRDSVEJ,sø.f. Solbjerg Hovedgade,2009,50,45
ØSTHAVNSVEJ,sv.f. Vandvejen,2018,50,55
ØSTHAVNSVEJ,nø.f. Vandvejen,2018,50,60
ØSTREVEJ,ø.f. Højkolvej,2012,50,37
ØSTREVEJ,ø.f. Bakkefaldet ,2012,50,37
ÅBYHØJVEJ,s.f. Holken,2008,50,41
ÅBY BÆKGÅRDSVEJ ,s.f. Silkeborgvej ,2012,50,44
ÅBY RINGVEJ,s.f. Viborgvej,2018,70,54
ÅBY RINGVEJ,sv.f. Bautavej,2015,70,63
ÅBY RINGVEJ,s.f. Dr. Holsts Vej,2015,70,56
ÅDALSVEJ,n.v. for Ålykkevej,2018,50,41
ÅHAVEVEJ,ø.f. Viby Ringvej ,2018,80,86
ÅLBORGGADE,v.f. Stadion Allé,2015,50,30
